Clearing,Globex,Floor,ClearPort,Product Name,Product Group,Subgroup,Category,Sub-Category,Cleared As,Exchange,Volume,Open Interest
M1,AM1,M1,M1,ERCOT South 345 kV Hub 5 MW Off-Peak Calendar-Day Futures,Energy,Electricity,ERCOT,Daily Off-Peak,Futures,NYMEX,0,0
PEP,APE,PEP,PEP,PJM PEPCO Zone Peak Calendar-Month Day-Ahead LMP Option,Energy,Electricity,PJM,Monthly Peak,Options,NYMEX,0,0
I8,AP1,I8,I8,ERCOT North 345 kV Hub 5 MW Off-Peak Calendar-Day Futures,Energy,Electricity,ERCOT,Daily Off-Peak,Futures,NYMEX,0,0
CK,CK,CK,CK,Gulf Coast Unl 87 (Argus) Crack Spread Futures,Energy,Refined Products,North American,Crack Spreads,Futures,NYMEX,0,0
LM,ALM,LM,LM,MISO Minnesota Hub Peak Calendar-Month LMP Futures,Energy,Electricity,MISO,Monthly Peak,Futures,NYMEX,0,0
UGG,UGG,UGG,UGG,Gulf Coast Unl 87 Gasoline M2 (Argus) Futures,Energy,Refined Products,North American,Crack Spreads,Futures,NYMEX,0,0
PY,PY,PY,PY,"Chicago Natural Gas (Platts IFERC) ""Pipe"" Option",Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
UR,UR,UR,UR,European Jet Kerosene Barges FOB Rdam (Platts) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
V8,MV8,V8,V8,Malin Natural Gas (Platts Gas Daily/Platts IFERC) Index Futures,Energy,Natural Gas,-,Index,Futures,NYMEX,0,0
DRK,RKZ,DRK,DRK,Singapore Jet Kerosene (Platts) vs. DME Oman Crude Oil Swap Futures,Energy,Refined Products,Asian,Crack Spreads,Futures,NYMEX,0,0
ZJO,ZJL,-,ZJO,NYISO Zone J Day-Ahead Off-Peak Calendar-Day 2.5 MW Futures,Energy,Electricity,PJM,Daily Off-Peak,Futures,NYMEX,0,0
WZ3,ZW3,WZ3,-,Wheat Weekly Options Wk 3,Agriculture,Grain And Oilseed,-,-,Options,CBT,0,0
C26,C26,C26,C26,Crude Oil Short-Term Options D26,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
GFC,GFC,GFC,GFC,Gulf Coast No. 6 Fuel Oil (Platts) Crack Spread BALMO Futures,Energy,Refined Products,North American,Crack Spreads,Futures,NYMEX,0,0
X3,X3,X3,X3,Transco Zone 2 Natural Gas (Platts Gas Daily) Swing Futures,Energy,Natural Gas,-,Swing,Futures,NYMEX,0,0
JD,JDL,JD,JD,PJM Western Hub Real-Time Peak Calendar-Day 2.5 MW Futures,Energy,Electricity,PJM,Daily Peak,Futures,NYMEX,0,0
95,95X,95,95,Climate Action Registry (CAR) - Vintage 2012 Futures,Energy,Emissions,-,CAR,Futures,NYMEX,0,0
